2018-08-01,11.84000015258789,12.130000114440918,11.739999771118164,12.0,2031200,0,0
2018-09-01,11.90999984741211,12.119999885559082,11.829999923706055,11.920000076293945,4217700,0,0
2018-10-01,11.880000114440918,12.420000076293945,11.829999923706055,12.170000076293945,1425900,0,0
2018-11-01,12.300000190734863,12.359999656677246,11.989999771118164,12.210000038146973,582200,0,0
2018-12-01,12.319999694824219,14.850000381469727,12.289999961853027,12.819999694824219,1575100,0,0
2019-01-01,12.869999885559082,13.239999771118164,12.760000228881836,13.1899995803833,1411700,0,0
2019-02-01,13.210000038146973,13.449999809265137,13.029999732971191,13.119999885559082,316500,0,0
2019-03-01,13.050000190734863,13.229999542236328,12.8100004196167,12.90999984741211,350600,0,0
2019-04-01,12.960000038146973,13.079999923706055,12.670000076293945,12.829999923706055,316500,0,0
2019-05-01,12.8100004196167,13.050000190734863,12.65999984741211,13.050000190734863,644800,0,0
2019-06-01,13.130000114440918,14.34000015258789,12.819999694824219,14.100000381469727,1509400,0,0
2019-07-01,13.800000190734863,14.460000038146973,13.75,14.100000381469727,992900,0,0
2019-08-01,14.029999732971191,15.920000076293945,14.020000457763672,15.210000038146973,1992300,0,0
2019-09-01,15.350000381469727,15.529999732971191,14.619999885559082,14.720000267028809,1999600,0,0
2019-10-01,14.609999656677246,15.15999984741211,14.59000015258789,15.079999923706055,2525600,0,0
2019-11-01,15.069999694824219,15.130000114440918,14.430000305175781,14.609999656677246,973800,0,0
2019-12-01,14.550000190734863,15.210000038146973,14.550000190734863,15.149999618530273,1354900,0,0
2020-01-01,15.239999771118164,15.850000381469727,15.199999809265137,15.829999923706055,1568400,0,0
2020-02-01,15.739999771118164,16.799999237060547,15.460000038146973,15.729999542236328,2216100,0,0
2020-03-01,15.899999618530273,16.850000381469727,14.489999771118164,15.720000267028809,6660400,0,0
2020-04-01,15.739999771118164,17.43000030517578,15.680000305175781,16.84000015258789,6990400,0,0
2020-05-01,16.719999313354492,17.530000686645508,16.719999313354492,17.270000457763672,7327200,0,0
2020-06-01,17.299999237060547,17.799999237060547,16.670000076293945,17.780000686645508,6466600,0,0
2020-07-01,17.729999542236328,19.75,17.540000915527344,19.690000534057617,10504800,0,0
2020-08-01,19.639999389648438,20.6299991607666,19.010000228881836,19.610000610351562,13519500,0,0
2020-09-01,19.850000381469727,19.850000381469727,18.450000762939453,18.799999237060547,15689900,0,0
2020-10-01,18.969999313354492,19.239999771118164,18.549999237060547,18.709999084472656,10761900,0,0
2020-11-01,18.84000015258789,19.479999542236328,17.6200008392334,17.690000534057617,14107000,0,0
2020-12-01,18.020000457763672,18.940000534057617,17.969999313354492,18.940000534057617,8388100,0,0
2021-01-01,19.329999923706055,19.440000534057617,18.93000030517578,19.049999237060547,3130400,0,0
2021-01-07,19.06999969482422,19.100000381469727,18.990999221801758,19.049999237060547,330199,0,0
